,Category,Description,Nutrient Data Bank Number,Data.Alpha Carotene,Data.Beta Carotene,Data.Beta Cryptoxanthin,Data.Carbohydrate,Data.Cholesterol,Data.Choline,Data.Fiber,Data.Lutein and Zeaxanthin,Data.Lycopene,Data.Niacin,Data.Protein,Data.Retinol,Data.Riboflavin,Data.Selenium,Data.Sugar Total,Data.Thiamin,Data.Water,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Major Minerals.Calcium,Data.Major Minerals.Copper,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K,cluster
3759,Nutrition bar or meal replacement bar,"Nutrition bar or meal replacement bar, NFS",53729000,0,0,0,45.0,8,73.0,2.0,2,0,20.0,30.0,1050,1.7,3.9,27.0,0.75,7.0,3.828,4.804,4.499,14.0,200,0.774,3.6,80,300,250,444,7.5,1050,4.2,2.0,120.0,24.0,1.6,3
3760,Cereal bar with fruit filling,"Cereal bar with fruit filling, baby food",53801000,0,166,0,68.63,1,13.9,1.7,33,0,11.842,5.43,0,1.053,14.1,42.0,0.921,14.0,3.107,1.541,0.453,5.3,1053,0.082,13.16,19,247,180,157,0.59,14,0.19,1.105,2.4,0.9,4.1,3
3762,Cookie,"Cookie, baby food",53803100,0,1,0,67.1,12,28.3,0.2,9,0,15.966,11.8,6,3.229,17.2,24.2,1.459,5.9,5.99,2.878,2.352,13.2,101,0.074,4.18,49,179,501,300,1.1,6,0.46,5.899,7.0,0.46,1.1,3
3825,Gerber Finger Foods,"Gerber Finger Foods, Puffs, baby food",54350010,0,0,0,76.68,0,22.9,2.3,11,0,11.25,6.4,0,1.6,37.5,28.0,1.4,3.7,3.13,3.638,1.646,9.9,400,0.22,22.5,27,709,114,0,4.0,0,0.0,0.05,10.0,3.9,15.0,3
3826,Finger Foods,"Finger Foods, Puffs, baby food",54350020,0,6,4,85.79,0,11.5,3.8,45,0,28.767,6.19,0,2.267,6.2,17.84,1.563,3.62,0.306,0.527,0.143,2.3,535,0.213,24.74,60,448,196,13,17.46,1,0.0,1.8,1.3,10.33,1.3,3
4179,Cereal,"Cereal, oat, NFS",57000100,0,0,0,73.2,0,26.2,10.1,159,0,17.9,12.4,990,0.1,24.9,4.5,1.3,3.76,2.3,2.4,1.6,6.6,357,0.387,28.9,114,357,633,497,13.4,990,6.77,1.79,21.4,0.41,2.0,3
4180,Cereal,"Cereal, ready-to-eat, NFS",57100100,1,6,10,79.47,0,18.2,7.1,250,0,21.567,9.05,799,1.126,16.4,22.17,1.667,3.55,1.373,1.486,0.938,4.81,292,0.246,25.44,79,269,416,514,11.41,800,7.36,2.403,22.1,0.35,1.7,3
4181,Cereal (Kellogg's All-Bran),Cereal (Kellogg's All-Bran),57101000,0,4,0,74.24,0,49.4,29.3,192,0,14.8,13.14,522,2.71,9.4,15.69,2.27,2.12,0.89,2.0,1.1,4.9,389,1.04,17.6,362,1150,1020,258,12.4,522,18.8,12.0,20.0,1.19,5.2,3
4182,Cereal (Post Alpha-Bits),Cereal (Post Alpha-Bits),57103000,11,16,0,80.3,0,25.6,7.1,334,0,16.7,10.0,739,1.4,20.9,21.0,1.3,1.2,1.5,1.8,1.1,4.6,35,0.3,30.0,99,309,267,592,5.0,741,5.0,1.7,20.0,0.31,1.4,3
4183,Cereal (General Mills Cheerios Apple Cinnamon),Cereal (General Mills Cheerios Apple Cinnamon),57103100,0,3,2,79.9,0,17.7,7.3,104,0,16.7,8.3,498,1.39,18.8,34.2,1.29,2.29,2.79,1.89,1.1,6.09,333,0.251,15.0,80,267,248,390,12.5,498,5.0,1.66,20.0,0.68,3.1,3
4184,Cereal (Kellogg's Apple Jacks),Cereal (Kellogg's Apple Jacks),57104000,10,15,0,88.2,0,7.5,9.3,276,0,17.9,5.1,526,1.52,5.6,43.7,1.34,2.5,0.6,0.9,1.9,3.4,12,0.098,16.1,29,70,112,466,5.4,527,5.4,1.79,54.0,0.12,0.4,3
4185,Cereal (Post Great Grains Banana Nut Crunch),Cereal (Post Great Grains Banana Nut Crunch),57106050,3,7,0,70.9,0,20.3,11.2,124,0,8.5,9.8,377,0.7,32.0,17.5,0.6,5.6,3.78,3.44,1.1,8.8,44,0.36,28.0,98,279,349,238,2.5,378,2.5,0.8,0.1,1.64,3.6,3
4186,Cereal (General Mills Cheerios Banana Nut),Cereal (General Mills Cheerios Banana Nut),57106060,36,54,0,84.69,0,14.7,6.1,811,0,17.89,5.5,500,1.5,11.0,33.09,1.29,2.2,1.2,1.89,0.69,4.0,357,0.166,16.1,57,214,255,533,13.39,506,5.4,1.78,53.6,0.53,1.2,3
4187,Cereal (General Mills Cheerios Berry Burst),Cereal (General Mills Cheerios Berry Burst),57106260,7,12,0,80.5,0,27.4,7.6,262,0,18.5,8.8,548,1.6,18.5,27.0,1.4,2.04,1.6,1.6,1.0,4.5,370,0.253,16.7,89,222,230,639,13.9,549,5.6,1.852,22.2,0.44,4.1,3
4188,Cereal (Quaker Cap'n Crunch),Cereal (Quaker Cap'n Crunch),57117000,44,67,0,85.51,0,8.6,2.5,645,0,21.465,4.39,0,1.822,6.5,44.32,1.614,2.5,0.639,0.747,3.346,5.12,11,0.111,19.42,55,167,186,754,16.16,7,0.0,2.138,0.0,0.62,0.6,3
4189,Cereal (Quaker Christmas Crunch),Cereal (Quaker Christmas Crunch),57117500,18,32,0,85.92,0,8.6,2.6,521,0,21.736,4.44,24,1.846,6.5,44.31,1.635,2.5,0.627,0.751,3.081,4.83,11,0.151,19.78,55,168,186,724,16.36,27,0.0,2.179,0.1,0.42,1.1,3
4190,Cereal (Quaker Cap'n Crunch's Crunchberries),Cereal (Quaker Cap'n Crunch's Crunchberries),57119000,0,89,0,85.93,0,8.6,2.6,538,0,20.75,4.45,0,1.8,10.4,44.2,1.6,2.5,0.63,0.75,3.08,4.83,11,0.119,19.8,55,168,187,725,15.56,7,0.0,2.14,0.1,0.63,0.6,3
4191,Cereal (Quaker Cap'n Crunch's Peanut Butter Crunch),Cereal (Quaker Cap'n Crunch's Peanut Butter Crunch),57120000,44,68,0,78.65,0,14.7,2.7,850,0,20.36,7.1,0,1.732,7.5,33.36,1.53,2.5,2.641,2.148,3.92,9.23,9,0.111,18.36,69,194,236,742,15.29,8,0.0,2.038,0.0,0.61,0.2,3
4192,Cereal (General Mills Cheerios),Cereal (General Mills Cheerios),57123000,0,0,0,73.2,0,26.2,10.1,159,0,17.9,12.4,990,0.1,24.9,4.5,1.3,3.76,2.3,2.4,1.6,6.6,357,0.387,28.9,114,357,633,497,13.4,990,6.77,1.79,21.4,0.41,2.0,3
