,Category,Description,Nutrient Data Bank Number,Data.Alpha Carotene,Data.Beta Carotene,Data.Beta Cryptoxanthin,Data.Carbohydrate,Data.Cholesterol,Data.Choline,Data.Fiber,Data.Lutein and Zeaxanthin,Data.Lycopene,Data.Niacin,Data.Protein,Data.Retinol,Data.Riboflavin,Data.Selenium,Data.Sugar Total,Data.Thiamin,Data.Water,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Major Minerals.Calcium,Data.Major Minerals.Copper,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K,cluster
4327,Oatmeal cereal with bananas,"Oatmeal cereal with bananas, baby food, dry, instant",57806100,0,0,0,78.07,0,28.7,5.2,157,0,13.0,6.67,0,1.0,20.5,26.66,0.833,4.7,1.429,2.186,1.267,6.67,800,0.391,45.0,118,267,600,33,1.9,0,3.33,0.66,58.3,5.0,3.0,3
4329,Whole wheat cereal with apples,"Whole wheat cereal with apples, baby food, dry, instant",57807010,0,0,0,83.2,0,42.1,6.7,203,0,13.33,6.6,0,1.0,64.7,26.66,0.33,1.7,1.277,1.866,0.639,4.8,600,0.62,45.0,140,200,500,66,2.6,0,3.33,0.66,58.3,5.0,8.3,3
4336,Gerber Graduates Finger Snacks Cereal,"Gerber Graduates Finger Snacks Cereal, baby food",57830100,0,0,0,76.68,0,22.9,2.3,11,0,11.25,6.4,0,1.6,37.5,28.0,1.4,3.7,3.13,3.638,1.646,9.9,400,0.22,22.5,27,709,114,0,4.0,0,0.0,0.05,10.0,3.9,15.0,3
5774,Sun-dried tomatoes,Sun-dried tomatoes,74206000,0,524,0,55.76,0,104.6,12.3,1419,45902,9.05,14.11,0,0.489,5.5,37.59,0.528,14.56,0.487,1.115,0.426,2.97,110,1.423,9.09,194,356,3427,107,1.99,44,0.0,0.332,39.2,0.01,43.0,3
6064,Seaweed,"Seaweed, dried",75232000,0,171,0,52.39,0,64.6,5.6,0,0,6.511,31.84,0,1.946,7.3,3.04,1.195,6.68,0.351,1.091,1.356,4.01,372,3.355,24.95,482,85,1244,575,3.9,14,0.0,0.334,5.0,5.0,25.0,3
6084,Yeast,Yeast,75236000,0,0,0,41.22,0,32.0,26.9,0,0,40.2,40.44,0,4.0,7.9,0.0,10.99,5.08,4.309,0.017,1.001,7.61,30,0.436,2.17,54,637,955,51,7.94,0,0.07,1.5,0.3,0.0,0.4,3
6085,Yeast extract spread,Yeast extract spread,75236500,0,0,0,20.42,0,65.1,6.5,0,0,127.5,23.88,0,17.5,27.6,1.6,23.375,40.9,0.0,0.0,0.0,0.9,67,0.245,4.04,180,104,2100,3380,4.19,0,0.5,0.0,0.0,0.0,0.0,3
6734,Coffee,"Coffee, instant, not reconstituted",92191100,0,0,0,75.4,0,101.9,0.0,0,0,28.173,12.2,0,0.074,12.6,0.0,0.008,3.1,0.041,0.196,0.197,0.5,141,0.139,4.41,327,303,3535,37,0.35,0,0.0,0.029,0.0,0.0,1.9,3
6735,Coffee,"Coffee, instant, 50% less caffeine, not reconstituted",92191105,0,0,0,73.18,0,101.9,0.0,0,0,28.173,14.42,0,0.074,12.6,0.0,0.008,3.1,0.041,0.196,0.197,0.5,141,0.139,4.41,327,303,3535,37,0.35,0,0.0,0.029,0.0,0.0,1.9,3
6736,Coffee,"Coffee, instant, decaffeinated, not reconstituted",92191200,0,0,0,76.0,0,101.9,0.0,0,0,28.075,11.6,0,1.36,17.3,0.0,0.0,3.2,0.021,0.101,0.101,0.2,140,0.069,3.8,311,286,3501,23,0.11,0,0.0,0.0,0.0,0.0,1.9,3
6749,Coffee substitute,"Coffee substitute, dry powder",92291300,0,5,0,78.42,0,13.4,23.3,194,0,17.664,6.01,0,0.095,64.1,4.63,0.413,7.99,0.356,1.225,0.603,2.52,58,0.208,4.6,244,580,2443,83,0.51,0,0.0,0.747,0.0,0.98,1.6,3
6769,Tea,"Tea, iced, instant, black, unsweetened, dry",92307000,0,0,0,58.66,0,118.3,8.5,0,0,10.8,20.21,0,0.985,5.3,5.53,0.0,5.09,0.0,0.0,0.0,0.0,118,0.55,2.26,272,239,6040,72,1.69,0,0.0,0.356,0.0,0.0,0.0,3
6881,Fruit flavored drink,"Fruit flavored drink, powdered, not reconstituted, diet",92900200,0,0,0,87.38,0,0.1,0.1,0,0,0.0,0.45,0,0.0,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.04,1047,0.0,0.08,3,1239,498,404,0.0,0,0.0,0.0,560.0,0.0,0.0,3
7008,Nutritional powder mix (Carnation Instant Breakfast),Nutritional powder mix (Carnation Instant Breakfast),95201000,0,0,0,66.2,12,148.4,0.4,0,0,14.24,19.9,625,0.2,12.1,65.8,0.85,7.4,0.314,0.278,0.56,1.4,285,1.425,12.82,228,427,947,385,8.55,625,1.71,1.14,76.9,9.37,90.0,3
7009,Nutritional powder mix,"Nutritional powder mix, sugar free (Carnation Instant Breakfast)",95201010,0,5,0,41.0,44,266.9,2.0,0,0,25.6,35.8,2686,0.35,21.8,39.0,1.5,7.4,1.189,1.027,2.162,5.1,500,2.6,2.3,410,500,1705,717,15.4,2686,3.1,2.0,138.0,16.88,120.0,3
7012,Nutritional powder mix,"Nutritional powder mix, high protein (Herbalife)",95201500,0,0,0,20.38,0,179.7,0.0,0,0,25.0,53.57,1875,2.125,87.5,3.57,2.143,8.3,2.907,7.268,0.0,10.71,714,2.5,22.5,500,1429,1000,1214,18.75,1875,6.43,2.5,75.0,16.88,125.0,3
7013,Nutritional powder mix (Isopure),Nutritional powder mix (Isopure),95201600,0,1,0,29.07,12,225.0,0.0,0,0,11.628,58.14,872,0.988,40.7,1.16,0.872,0.86,0.149,0.021,0.581,1.16,698,1.163,1.26,233,581,872,372,8.72,872,3.49,1.163,34.9,7.85,46.5,3
7014,Nutritional powder mix (Kellogg's Special K20 Protein Water),Nutritional powder mix (Kellogg's Special K20 Protein Water),95201700,0,0,0,58.4,4,76.7,37.5,0,0,27.65,35.2,2,0.0,0.0,2.0,0.0,3.95,0.146,0.4,0.236,0.6,115,0.0,2.0,7,69,490,280,0.0,2,8.3,2.8,0.0,0.0,0.0,3
7015,Nutritional powder mix (Muscle Milk),Nutritional powder mix (Muscle Milk),95202000,0,0,0,18.5,21,81.6,7.1,0,0,10.0,45.71,750,0.857,33.8,5.71,0.714,15.0,12.105,1.77,1.553,17.14,500,1.0,8.57,200,643,1129,329,7.14,750,3.0,1.0,30.0,7.07,0.5,3
7016,Nutritional powder mix,"Nutritional powder mix, light (Muscle Milk)",95202010,0,0,0,22.0,10,81.6,2.0,0,0,14.0,50.0,1050,1.2,33.8,4.0,1.0,12.0,8.474,1.239,1.087,12.0,1200,1.4,12.0,280,700,840,250,10.0,1050,4.2,1.4,42.0,9.45,0.5,3
7017,Nutritional powder mix (Slim Fast),Nutritional powder mix (Slim Fast),95210000,0,1,0,73.92,5,3.4,18.1,0,0,38.462,8.13,1034,0.654,67.3,38.02,1.442,1.99,10.51,1.19,1.45,13.34,364,0.769,0.68,385,385,247,472,17.31,1034,8.08,2.308,1.3,51.92,96.2,3
7018,Nutritional powder mix,"Nutritional powder mix, sugar free (Slim Fast)",95210010,0,1,0,73.92,5,3.4,18.1,0,0,38.462,8.13,1034,0.654,67.3,38.02,1.442,1.99,10.51,1.19,1.45,13.34,364,0.769,0.68,385,385,247,472,17.31,1034,8.08,2.308,1.3,51.92,96.2,3
7019,Nutritional powder mix,"Nutritional powder mix, high protein (Slim Fast)",95210020,0,1,0,50.0,6,3.4,18.2,0,0,38.442,27.87,865,0.654,67.5,20.59,1.499,5.4,8.93,1.049,1.333,13.46,1039,0.769,24.84,473,563,752,495,17.29,865,8.07,2.307,103.8,51.92,0.1,3
7020,Nutritional powder mix,"Nutritional powder mix, NFS",95220000,0,0,0,66.2,12,148.4,0.4,0,0,14.24,19.9,625,0.2,12.1,65.8,0.85,7.4,0.314,0.278,0.56,1.4,285,1.425,12.82,228,427,947,385,8.55,625,1.71,1.14,76.9,9.37,90.0,3
7021,Nutritional powder mix,"Nutritional powder mix, high protein, NFS",95220010,0,0,0,20.38,0,179.7,0.0,0,0,25.0,53.57,1875,2.125,87.5,3.57,2.143,8.3,2.907,7.268,0.0,10.71,714,2.5,22.5,500,1429,1000,1214,18.75,1875,6.43,2.5,75.0,16.88,125.0,3
7024,Nutritional powder mix,"Nutritional powder mix, protein, light, NFS",95230020,0,0,0,22.0,10,81.6,2.0,0,0,14.0,50.0,1050,1.2,33.8,4.0,1.0,12.0,8.474,1.239,1.087,12.0,1200,1.4,12.0,280,700,840,250,10.0,1050,4.2,1.4,42.0,9.45,0.5,3
